date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:29:08	3981/3981	---M--	200	added ('OK')	image/jpeg	etag:%22ec0030-f8d-5c8bd4d037680%22	https://intamarque.com/wp-content/uploads/2021/06/cropped-fav-180x180.jpg	C:/My%20Web%20Sites/metropharma/intamarque.com/wp-content/uploads/2021/06/cropped-fav-180x180.jpg	(from https://intamarque.com/)
16:29:08	31738/31738	---M-Z	200	added ('OK')	application/javascript	etag:%225eb03ffd-7bfa%22	https://cdnjs.cloudflare.com/ajax/libs/tiny-slider/2.9.2/min/tiny-slider.js	C:/My%20Web%20Sites/metropharma/cdnjs.cloudflare.com/ajax/libs/tiny-slider/2.9.2/min/tiny-slider.js	(from https://intamarque.com/)
16:29:08	861/861	---M--	200	added ('OK')	image/svg+xml	etag:%22ec04f6-35d-5c933a4e4d80d%22	https://intamarque.com/wp-content/themes/intamarque2021/assets/img/close.svg	C:/My%20Web%20Sites/metropharma/intamarque.com/wp-content/themes/intamarque2021/assets/img/close.svg	(from https://intamarque.com/)
16:29:09	724/724	---M--	200	added ('OK')	image/svg+xml	etag:%22ec0d52-2d4-5c933a5c944f6%22	https://intamarque.com/wp-content/themes/intamarque2021/assets/img/shoparrow.svg	C:/My%20Web%20Sites/metropharma/intamarque.com/wp-content/themes/intamarque2021/assets/img/shoparrow.svg	(from https://intamarque.com/)
16:29:09	2763/2763	---M--	200	added ('OK')	image/svg+xml	etag:%22ec004a-acb-5c8bd4d8ccac0%22	https://intamarque.com/wp-content/uploads/2021/06/Logo.svg	C:/My%20Web%20Sites/metropharma/intamarque.com/wp-content/uploads/2021/06/Logo.svg	(from https://intamarque.com/)
16:29:09	615/615	---M--	200	added ('OK')	image/svg+xml	etag:%22ec0d30-267-5c933a5593932%22	https://intamarque.com/wp-content/themes/intamarque2021/assets/img/modelclose.svg	C:/My%20Web%20Sites/metropharma/intamarque.com/wp-content/themes/intamarque2021/assets/img/modelclose.svg	(from https://intamarque.com/)
16:29:09	3361/3361	---M--	200	added ('OK')	image/svg+xml	etag:%22ec00de-d21-5c8bd5101cd40%22	https://intamarque.com/wp-content/uploads/2021/07/dovev2.svg	C:/My%20Web%20Sites/metropharma/intamarque.com/wp-content/uploads/2021/07/dovev2.svg	(from https://intamarque.com/)
16:29:10	58260/58260	---M-Z	200	added ('OK')	text/html	date:Thu,%2013%20Jan%202022%2010:59:09%20GMT	https://intamarque.com/about-us/	C:/My%20Web%20Sites/metropharma/intamarque.com/about-us/index.html	(from https://intamarque.com/)
16:29:10	1479/1479	---M--	200	added ('OK')	image/svg+xml	etag:%22ec0080-5c7-5c8bd4ebdf7c0%22	https://intamarque.com/wp-content/uploads/2021/07/2-nivea.svg	C:/My%20Web%20Sites/metropharma/intamarque.com/wp-content/uploads/2021/07/2-nivea.svg	(from https://intamarque.com/)
16:29:10	111775/111775	---M-Z	200	added ('OK')	text/html	date:Thu,%2013%20Jan%202022%2010:59:10%20GMT	https://intamarque.com/meet-the-team/	C:/My%20Web%20Sites/metropharma/intamarque.com/meet-the-team/index.html	(from https://intamarque.com/)
